,movie,production_budget,domestic_gross_x,worldwide_gross,studio,release_month,release_year,primary_genre,sub_genre,p_l,p_l_%
1371,Chernobyl Diaries,1000000,18119640,42411721,WB,5,2012,Horror,Mystery,41411721,4241.1721
1372,Blue Valentine,1000000,9737892,16566240,Wein.,12,2010,Drama,Romance,15566240,1656.624
1373,Unfriended: Dark Web,1000000,8866745,16434588,BH Tilt,7,2018,Crime,Horror,15434588,1643.4588
1374,The Green Inferno,1000000,7192291,12931420,BH Tilt,9,2015,Adventure,Horror,11931420,1293.1419999999998
1375,The Sessions,1000000,6002451,11495204,FoxS,10,2012,Biography,Comedy,10495204,1149.5203999999999
1376,The Skeleton Twins,1000000,5284309,5797192,RAtt.,9,2014,Comedy,Drama,4797192,579.7192
1377,Obvious Child,1000000,3122616,3324070,A24,6,2014,Comedy,Drama,2324070,332.407
1378,Martha Marcy May Marlene,1000000,2981038,5438911,FoxS,10,2011,Drama,Mystery,4438911,543.8911
1379,Patti Cake$,1000000,800148,1471090,FoxS,8,2017,Drama,Music,471090,147.109
1380,Palo Alto,1000000,767732,1156309,Trib.,5,2014,Drama,-,156309,115.6309
1381,The Future,1000000,568662,1239174,RAtt.,7,2011,Drama,Fantasy,239174,123.9174
1382,I Origins,1000000,336472,852399,FoxS,7,2014,Drama,Romance,-147601,85.2399
1383,The Invitation,1000000,231738,354836,Drft.,4,2016,Drama,Horror,-645164,35.483599999999996
1384,Camp X-Ray,1000000,9837,101053,IFC,10,2014,Drama,War,-898947,10.1053
1385,Fruitvale Station,900000,16098998,17549645,Wein.,7,2013,Biography,Drama,16649645,1949.9605555555554
1386,Circumstance,900000,454121,958978,RAtt.,8,2011,Drama,-,58978,106.55311111111112
1387,Kill List,800000,29063,462206,IFC,2,2012,Crime,Drama,-337794,57.77575
1388,Safety Not Guaranteed,750000,4010957,4422318,FD,6,2012,Comedy,Drama,3672318,589.6424
1389,The Innkeepers,750000,78396,1011535,Magn.,2,2012,Drama,Horror,261535,134.87133333333335
